Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Inactive duration (ms),Walking duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms)
11:30:00.000Z,11:45:00.000Z,17.05729058378806,,,,,,,,,9,,,,,686783,,,
11:45:00.000Z,12:00:00.000Z,35.195073704579066,269.0086193084717,-33.8527941,18.6969096,-33.8518557,18.6973926,0.9783432087425088,1.3351714611053467,0.3125784993171692,464,,,,5,169303,287128,,
12:00:00.000Z,12:15:00.000Z,32.93271437817436,188.51155134658813,-33.8518976,18.6969495,-33.8509737,18.6971318,1.057277206084173,1.240737795829773,0.6486905217170715,308,,,,3,486435,251314,,
12:15:00.000Z,12:30:00.000Z,44.56680141196794,239.90893163381878,-33.850764,18.696979,-33.8505905,18.6970914,0.5518003988441881,1.1063770055770874,0.277778297662735,441,,,,5,183094,435486,,
12:30:00.000Z,12:45:00.000Z,36.861680174519975,254.45690072854694,-33.8539158,18.6971845,-33.8518708,18.697996,0.8682772914410426,1.034443974494934,0.6693816184997559,422,,,,5,586489,313511,,
12:45:00.000Z,13:00:00.000Z,24.79955646401638,48.56259346008301,-33.853957,18.6972583,-33.8529352,18.6980846,0.5511993169784546,0.6114533543586731,0.4909452795982361,133,,,,3,242114,122563,,
13:00:00.000Z,13:15:00.000Z,17.057290865723367,,,,,,,,,,,,,,,,,
13:15:00.000Z,13:30:00.000Z,17.057290865723367,,,,,,,,,,,,,,,,,
13:30:00.000Z,13:45:00.000Z,17.057291523238188,,,,,,,,,,,,,,,,,
13:45:00.000Z,14:00:00.000Z,17.057291686946225,,,,,,,,,,,,,,,,,
14:00:00.000Z,14:15:00.000Z,17.057291208070634,,,,,,,,,,,,,,213160,,,
14:15:00.000Z,14:30:00.000Z,17.057289692486215,,,,,,,,,82,,,,1,858919,,,
14:30:00.000Z,14:45:00.000Z,17.057290443797285,,,,,,,,,17,,,,,101048,,,
14:45:00.000Z,15:00:00.000Z,17.05729184813405,,,,,,10.574483815830911,15.176677703857422,0.5937246680259705,62,,,,,900000,,,
15:00:00.000Z,15:15:00.000Z,17.057290918701952,,,,,,19.853437725167307,32.49906539916992,0.506384015083313,,,,,,24796,,,
15:15:00.000Z,15:30:00.000Z,17.05729089236958,,,,,,15.001126085178276,30.340951919555664,0.5055921077728271,,,,,,,,,
15:30:00.000Z,15:45:00.000Z,17.057290872195058,,,,,,6.533388005324279,18.830425262451172,0.5056696534156799,4,,,,,222385,,,
15:45:00.000Z,16:00:00.000Z,18.22169751814691,9.82493257522583,,,,,,,,122,,,,1,881567,18433,,
16:00:00.000Z,16:15:00.000Z,17.05729075330777,,,,,,,,,75,,,,,900000,,,
16:15:00.000Z,16:30:00.000Z,17.05729075330777,,,,,,,,,108,,,,,900000,,,
16:30:00.000Z,16:45:00.000Z,32.43234948599084,78.34764862060547,,,,,0.6439907550811766,0.6646849513053894,0.6232965588569641,226,,,,2,656607,243393,,
16:45:00.000Z,17:00:00.000Z,17.0572906962115,,,,,,,,,3,,,,,900000,,,
17:00:00.000Z,17:15:00.000Z,23.734326526182787,75.11014556884766,,,,,0.7236781120300293,0.7504492402076721,0.6969069838523865,215,,,,2,794300,105700,,
17:15:00.000Z,17:30:00.000Z,17.05729103088379,,,,,,,,,53,,,,,900000,,,
17:30:00.000Z,17:45:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,,,
17:45:00.000Z,18:00:00.000Z,17.05729103088379,,,,,,,,,29,,,,,900000,,,
18:00:00.000Z,18:15:00.000Z,17.05729097251707,,,,,,,,,,,,,,900000,,,
18:15:00.000Z,18:30:00.000Z,17.057290764914256,,,,,,,,,73,,,,1,900000,,,
18:30:00.000Z,18:45:00.000Z,27.22653628786111,54.36691586620789,,,,,0.5011261656668696,1.4737242460250854,0.3237505555152893,98,,,,1,739017,160983,,
18:45:00.000Z,19:00:00.000Z,24.202350677464167,34.29855234973449,,,,,1.0706859827041626,1.0706859827041626,1.0706859827041626,70,,,,1,786891,113109,,
19:00:00.000Z,19:15:00.000Z,17.057290679991542,,,,,,,,,86,,,,1,900000,,,
19:15:00.000Z,19:30:00.000Z,17.05729107255469,,,,,,,,,226,,,,3,789548,,,
19:30:00.000Z,19:45:00.000Z,17.057292938232422,,,,,,,,,,,,,,,,,
19:45:00.000Z,20:00:00.000Z,17.057292938232422,,,,,,,,,,,,,,,,,
20:00:00.000Z,20:15:00.000Z,17.057292938232422,,,,,,,,,,,,,,,,,
20:15:00.000Z,20:30:00.000Z,17.057292769265466,,,,,,,,,,,,,,,,,
20:30:00.000Z,20:45:00.000Z,17.057291561432894,,,,,,,,,,,,,,,,,
20:45:00.000Z,21:00:00.000Z,17.057291561432894,,,,,,,,,,,,,,,,,
21:00:00.000Z,21:15:00.000Z,17.057291561432894,,,,,,,,,,,,,,,,,
21:15:00.000Z,21:30:00.000Z,17.05729115510443,,,,,,,,,71,,,,1,367383,,,
21:30:00.000Z,21:45:00.000Z,17.057290949106285,,,,,,,,,3,,,,,900000,,,
21:45:00.000Z,22:00:00.000Z,17.05729091868681,,-33.8636157,18.6842663,-33.8636157,18.6842663,,,,,,,,,,,900000,
22:00:00.000Z,22:15:00.000Z,17.05729091868681,0.0,-33.8635586,18.684272,-33.8635586,18.684272,,,,,,,,,,,120000,780000
22:15:00.000Z,22:30:00.000Z,17.05729091868681,0.0,,,,,,,,,,,,,,,,900000
22:30:00.000Z,22:45:00.000Z,17.05729041380041,0.0,-33.8636159,18.6842725,-33.8635709,18.6842785,,,,,,,,,,,540000,360000
22:45:00.000Z,23:00:00.000Z,17.057291746139526,0.0,,,,,,,,,,,,,,,60000,840000
23:00:00.000Z,23:15:00.000Z,17.057291142145793,0.0,,,,,,,,,,,,,,,780000,120000
23:15:00.000Z,23:30:00.000Z,17.05729103088379,0.0,,,,,,,,,,,,,,,900000,
23:30:00.000Z,23:45:00.000Z,17.05729103088379,0.0,,,,,,,,,,,,,,,900000,
23:45:00.000Z,00:00:00.000Z,17.05729103088379,0.0,,,,,,,,,,,,,,,900000,
