Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Inactive duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms)
11:30:00.000Z,11:45:00.000Z,17.2031192779541,3.872320596458527,,,,,,,,,,,,,900000,,
11:45:00.000Z,12:00:00.000Z,17.2031192779541,3.872320596458527,,,,,,,,,,,,,900000,,
12:00:00.000Z,12:15:00.000Z,17.2031192779541,3.872320596458527,,,,,,,,,,,,,900000,,
12:15:00.000Z,12:30:00.000Z,17.2031192779541,3.872320596458527,,,,,,,,,,,,,900000,,
12:30:00.000Z,12:45:00.000Z,17.2031192779541,3.872320596458527,,,,,,,,,,,,,900000,,
12:45:00.000Z,13:00:00.000Z,17.2031192779541,3.872320596458527,,,,,,,,,,,,,900000,,
13:00:00.000Z,13:15:00.000Z,17.2031192779541,3.872320596458527,,,,,,,,,,,,,900000,,
13:15:00.000Z,13:30:00.000Z,17.2031192779541,3.872320596458527,,,,,,,,,,,,,900000,,
13:30:00.000Z,13:45:00.000Z,17.2031192779541,3.872320596458527,,,,,,,,,,,,,900000,,
13:45:00.000Z,14:00:00.000Z,17.2031192779541,3.872320596458527,,,,,,,,,,,,,900000,,
14:00:00.000Z,14:15:00.000Z,17.2031192779541,3.872320596458527,,,,,,,,,,,,,900000,,
14:15:00.000Z,14:30:00.000Z,17.2031192779541,3.872320596458527,,,,,,,,,,,,,900000,,
14:30:00.000Z,14:45:00.000Z,17.2031192779541,3.872320596458527,,,,,,,,,,,,,900000,,
14:45:00.000Z,15:00:00.000Z,17.2031192779541,3.872320596458527,,,,,,,,,,,,,900000,,
15:00:00.000Z,15:15:00.000Z,17.2031192779541,3.872320596458527,,,,,,,,,,,,,900000,,
15:15:00.000Z,15:30:00.000Z,17.2031192779541,3.872320596458527,,,,,,,,,,,,,900000,,
15:30:00.000Z,15:45:00.000Z,17.2031192779541,3.872320596458527,,,,,,,,,,,,,900000,,
15:45:00.000Z,16:00:00.000Z,17.2031192779541,2.3233923578751163,,,,,,,,4,,,,,900000,,
16:00:00.000Z,16:15:00.000Z,17.2031192779541,,,,,,,,,12,,,,,900000,,
16:15:00.000Z,16:30:00.000Z,17.2031192779541,,,,,,,,,5,,,,,900000,,
16:30:00.000Z,16:45:00.000Z,17.203119213004683,,,,,,,,,2,,,,,900000,,
16:45:00.000Z,17:00:00.000Z,17.20311915617394,,,,,,,,,23,,,,,900000,,
17:00:00.000Z,17:15:00.000Z,17.203118552911697,,,,,,,,,22,,,,,900000,,
17:15:00.000Z,17:30:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,,
17:30:00.000Z,17:45:00.000Z,17.20311737060547,,,,,,,,,2,,,,,900000,,
17:45:00.000Z,18:00:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,,
18:00:00.000Z,18:15:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,,
18:15:00.000Z,18:30:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,,
18:30:00.000Z,18:45:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,,
18:45:00.000Z,19:00:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000,,
19:00:00.000Z,19:15:00.000Z,17.203117412243117,,,,,,,,,,,,,,900000,,
19:15:00.000Z,19:30:00.000Z,17.203117493846847,,,,,,,,,3,,,,,900000,,
19:30:00.000Z,19:45:00.000Z,17.203117493846847,,,,,,,,,5,,,,,900000,,
19:45:00.000Z,20:00:00.000Z,17.203117467465532,,,,,,,,,14,,,,,840000,60000,
20:00:00.000Z,20:15:00.000Z,17.203117098127095,,-33.8635546,18.6842128,-33.8635546,18.6842128,,,,,,,,,,900000,
20:15:00.000Z,20:30:00.000Z,17.203118377949767,,-33.8636054,18.6842418,-33.8636054,18.6842418,,,,,,,,,,300000,600000
20:30:00.000Z,20:45:00.000Z,17.20311901786111,,,,,,,,,,,,,,,840000,60000
20:45:00.000Z,21:00:00.000Z,17.203118545840486,,,,,,,,,,,,,,,480000,420000
21:00:00.000Z,21:15:00.000Z,17.203118006388348,,,,,,,,,,,,,,,,900000
21:15:00.000Z,21:30:00.000Z,17.203118014865453,,,,,,,,,,,,,,,60000,840000
21:30:00.000Z,21:45:00.000Z,17.203118133544923,,,,,,,,,,,,,,,900000,
21:45:00.000Z,22:00:00.000Z,17.203118133544923,,,,,,,,,,,,,,,900000,
22:00:00.000Z,22:15:00.000Z,17.203118133544923,1.416030534351145,,,,,,,,,,,,,,900000,
22:15:00.000Z,22:30:00.000Z,17.20311818599701,1.5171755725190839,,,,,,,,,,,,,,240000,660000
22:30:00.000Z,22:45:00.000Z,17.203117648760475,1.5171755725190839,-33.8635971,18.6842189,-33.8635434,18.6842328,,,,,,,,,,600000,300000
22:45:00.000Z,23:00:00.000Z,17.20311737060547,1.5171755725190839,,,,,,,,,,,,,,900000,
23:00:00.000Z,23:15:00.000Z,17.20311737060547,1.5171755725190839,,,,,,,,,,,,,,900000,
23:15:00.000Z,23:30:00.000Z,17.20311737060547,1.5171755725190839,,,,,,,,,,,,,,900000,
23:30:00.000Z,23:45:00.000Z,17.203117688496906,1.5171755725190839,,,,,,,,,,,,,,900000,
23:45:00.000Z,00:00:00.000Z,17.203117737403282,1.5171755725190839,,,,,,,,,,,,,,600000,300000
