Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Inactive duration (ms),Walking duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms)
00:00:00.000Z,00:15:00.000Z,17.20311738953697,2.7545454545454544,,,,,,,,,,,,,,,180000,720000
00:15:00.000Z,00:30:00.000Z,17.20311712607359,2.7545454545454544,,,,,,,,,,,,,,,840000,60000
00:30:00.000Z,00:45:00.000Z,17.203117098127095,2.7545454545454544,,,,,,,,,,,,,,,900000,
00:45:00.000Z,01:00:00.000Z,17.203117146863065,2.7545454545454544,,,,,,,,,,,,,,,780000,120000
01:00:00.000Z,01:15:00.000Z,17.203117463646866,2.7545454545454544,,,,,,,,,,,,,,,,900000
01:15:00.000Z,01:30:00.000Z,17.203117463646866,2.7545454545454544,,,,,,,,,,,,,,,,900000
01:30:00.000Z,01:45:00.000Z,17.203117862395708,2.7545454545454544,,,,,,,,,,,,,,,360000,540000
01:45:00.000Z,02:00:00.000Z,17.203118460518972,2.7545454545454544,,,,,,,,,,,,,,,900000,
02:00:00.000Z,02:15:00.000Z,17.203118460518972,2.7545454545454544,,,,,,,,,,,,,,,900000,
02:15:00.000Z,02:30:00.000Z,17.203118460518972,2.7545454545454544,,,,,,,,,,,,,,,900000,
02:30:00.000Z,02:45:00.000Z,17.20311789285569,2.7545454545454544,,,,,0.003060606075450778,0.003060606075450778,0.003060606075450778,,,,,,,,300000,600000
02:45:00.000Z,03:00:00.000Z,17.203117720286052,2.7545454545454544,,,,,,,,,,,,,,,60000,840000
03:00:00.000Z,03:15:00.000Z,17.2031192779541,2.7545454545454544,-33.8636463,18.684226,-33.8636193,18.6842935,,,,,,,,,,,900000,
03:15:00.000Z,03:30:00.000Z,17.2031192779541,2.7545454545454544,-33.8636463,18.6842532,-33.863574,18.6842935,,,,,,,,,,,900000,
03:30:00.000Z,03:45:00.000Z,17.2031192779541,2.7545454545454544,-33.8636463,18.6842935,-33.8636463,18.6842935,,,,,,,,,,,900000,
