Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Inactive duration (ms),Walking duration (ms),Running duration (ms),Sleep duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
00:00:00.000Z,00:15:00.000Z,17.05729103088379,0.21739130434782608,,,,,,,,,,,,,,,,,900000,,
00:15:00.000Z,00:30:00.000Z,17.05729103088379,0.21739130434782608,,,,,,,,,,,,,,,,,900000,,
00:30:00.000Z,00:45:00.000Z,17.05729103088379,0.21739130434782608,,,,,,,,,,,,,,,,,900000,,
00:45:00.000Z,01:00:00.000Z,17.05729103088379,0.21739130434782608,,,,,,,,,,,,,,,,,900000,,
01:00:00.000Z,01:15:00.000Z,17.057290999094647,0.21739130434782608,,,,,,,,,,,,,,,,,720000,180000,
01:15:00.000Z,01:30:00.000Z,17.057290077209473,0.21739130434782608,,,,,,,,,,,,,,,,,,900000,
01:30:00.000Z,01:45:00.000Z,17.057289123535156,0.21739130434782608,,,,,,,,,,,,,,,,,900000,,
01:45:00.000Z,02:00:00.000Z,17.057289123535156,0.21739130434782608,,,,,,,,,,,,,,,,,900000,,
02:00:00.000Z,02:15:00.000Z,17.057289123535156,0.21739130434782608,,,,,2.4154588754754514E-4,2.4154588754754514E-4,2.4154588754754514E-4,,,,,,,,,,900000,,
02:15:00.000Z,02:30:00.000Z,17.057289123535156,0.21739130434782608,,,,,,,,,,,,,,,,,900000,,
02:30:00.000Z,02:45:00.000Z,17.05728945524796,0.21739130434782608,-33.8636039,18.6842871,-33.8636039,18.6842871,,,,,,,,,,,,,900000,,
02:45:00.000Z,03:00:00.000Z,17.05728945524796,0.21739130434782608,-33.8635956,18.6842573,-33.863538,18.6842905,,,,,,,,,,,,,900000,,
03:00:00.000Z,03:15:00.000Z,17.05728945524796,0.21739130434782608,,,,,,,,,,,,,,,,,900000,,
03:15:00.000Z,03:30:00.000Z,17.0572909258414,0.21739130434782608,-33.8636321,18.684208,-33.8635308,18.6842645,,,,,,,,,,,,,60000,,840000
03:30:00.000Z,03:45:00.000Z,17.05729103088379,0.21739130434782608,-33.8635131,18.684258,-33.8635131,18.684258,,,,,,,,,,,,,840000,,60000
03:45:00.000Z,04:00:00.000Z,17.05729103088379,0.21739130434782608,-33.8635872,18.6842577,-33.8635872,18.6842577,,,,,,,,,,,,,900000,,
04:00:00.000Z,04:15:00.000Z,17.05729103088379,0.21739130434782608,-33.8635299,18.6842614,-33.8635299,18.6842614,,,,,,,,,,,,,900000,,
04:15:00.000Z,04:30:00.000Z,17.05729103088379,0.21739130434782608,-33.8635898,18.6842829,-33.8635898,18.6842829,,,,,,,,,,,,,900000,,
04:30:00.000Z,04:45:00.000Z,17.05729103088379,0.21739130434782608,,,,,,,,,,,,,,,,,900000,,
04:45:00.000Z,05:00:00.000Z,17.05729103088379,0.21739130434782608,,,,,,,,,,,,,,,,,900000,,
05:00:00.000Z,05:15:00.000Z,17.05729103088379,0.21739130434782608,-33.8635846,18.6842164,-33.8635593,18.6842756,,,,,,,,,,,,,900000,,
05:15:00.000Z,05:30:00.000Z,17.05729103088379,0.21739130434782608,-33.8636125,18.684276,-33.8636125,18.684276,,,,,,,,,,,,,900000,,
05:30:00.000Z,05:45:00.000Z,17.057291253407797,0.21739130434782608,-33.8635298,18.6842616,-33.8635298,18.6842616,,,,0,,,,,600000,,,,300000,,
05:45:00.000Z,06:00:00.000Z,17.05729103088379,0.21739130434782608,,,,,,,,1,,,,,900000,,,,,,
06:00:00.000Z,06:15:00.000Z,47.37873611895377,504.83419167849263,-33.863637,18.6841934,-33.8598475,18.6863745,0.7874946147203447,1.2666559219360352,0.30833330750465393,232,,,,,300000,480000,,,,,
06:15:00.000Z,06:30:00.000Z,17.057292017946722,56.15384615384616,,,,,,,,84,,,,,,,,,,,
06:30:00.000Z,06:45:00.000Z,17.057292017946722,56.15384615384616,,,,,0.06239316239953041,0.06239316239953041,0.06239316239953041,84,,,,,,,,,,,
06:45:00.000Z,07:00:00.000Z,36.00819324643361,259.94871794871796,-33.9774561,18.4655004,-33.9773332,18.4657866,0.7666666507720947,0.7666666507720947,0.7666666507720947,395,,,,5,128032,300000,,,,,
07:00:00.000Z,07:15:00.000Z,30.65905145869435,29.132231404958677,,,,,,,,42,,,,,684679,215321,,,,,
07:15:00.000Z,07:30:00.000Z,17.057292938232422,29.132231404958677,,,,,,,,41,,,,,900000,,,,,,
07:30:00.000Z,07:45:00.000Z,17.057292938232422,29.132231404958677,,,,,,,,41,,,,,900000,,,,,,
07:45:00.000Z,08:00:00.000Z,17.057292938232422,29.132231404958677,,,,,,,,41,,,,,900000,,,,,,
