Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Inactive duration (ms),Walking duration (ms),Running duration (ms),Sleep duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
11:45:00.000Z,12:00:00.000Z,17.05729103088379,18.777536392211914,,,,,0.7514320611953735,0.7514320611953735,0.7514320611953735,34,,,,,900000,,,,,,
12:00:00.000Z,12:15:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,,,,,,
12:15:00.000Z,12:30:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,,,,,,
12:30:00.000Z,12:45:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,,,,,,
12:45:00.000Z,13:00:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,,,,,,
13:00:00.000Z,13:15:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,,,,,,
13:15:00.000Z,13:30:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,,,,,,
13:30:00.000Z,13:45:00.000Z,17.05729103088379,,,,,,,,,1,,,,,900000,,,,,,
13:45:00.000Z,14:00:00.000Z,17.05729103088379,,,,,,,,,3,,,,,900000,,,,,,
14:00:00.000Z,14:15:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,,,,,,
14:15:00.000Z,14:30:00.000Z,17.057291182873872,,,,,,,,,,,,,,900000,,,,,,
14:30:00.000Z,14:45:00.000Z,17.057291323573295,,,,,,,,,,,,,,900000,,,,,,
14:45:00.000Z,15:00:00.000Z,20.002009295503434,9.521506307383378,,,,,,,,17,,,,,853384,46616,,,,,
15:00:00.000Z,15:15:00.000Z,29.279108803113367,134.8174033186237,,,,,0.8065062016248703,1.289261817932129,0.3237505853176117,211,,,,3,706524,193476,,,,,
15:15:00.000Z,15:30:00.000Z,17.05729103088379,,,,,,,,,,,,,,900000,,,,,,
