Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Inactive duration (ms)
14:45:00.000Z,15:00:00.000Z,17.20311737060547,,,,,,,,,13,,,,,900000
15:00:00.000Z,15:15:00.000Z,17.20311737060547,,,,,,,,,24,,,,,900000
15:15:00.000Z,15:30:00.000Z,17.20311737060547,,,,,,,,,27,,,,,900000
15:30:00.000Z,15:45:00.000Z,17.20311737060547,,,,,,,,,37,,,,,900000
15:45:00.000Z,16:00:00.000Z,17.203117431339653,,,,,,,,,160,,,,,900000
16:00:00.000Z,16:15:00.000Z,17.20311897417284,,,,,,,,,79,,,,,531635
16:15:00.000Z,16:30:00.000Z,17.2031192779541,,,,,,,,,12,,,,,900000
16:30:00.000Z,16:45:00.000Z,17.2031192779541,,,,,,,,,,,,,,900000
16:45:00.000Z,17:00:00.000Z,17.2031192779541,,,,,,,,,3,,,,,900000
17:00:00.000Z,17:15:00.000Z,17.203119126007714,,,,,,,,,1,,,,,900000
17:15:00.000Z,17:30:00.000Z,17.203118965590008,,,,,,,,,,,,,,900000
17:30:00.000Z,17:45:00.000Z,17.2031189502223,,,,,,,,,42,,,,,883049
17:45:00.000Z,18:00:00.000Z,17.20311804333674,,,,,,,,,43,,,,1,32645
18:00:00.000Z,18:15:00.000Z,17.20311737060547,,,,,,,,,8,,,,,900000
18:15:00.000Z,18:30:00.000Z,17.20311737060547,,,,,,,,,10,,,,,900000
18:30:00.000Z,18:45:00.000Z,17.20311737060547,,,,,,,,,3,,,,,900000
18:45:00.000Z,19:00:00.000Z,17.20311737060547,,,,,,,,,13,,,,,900000
19:00:00.000Z,19:15:00.000Z,17.20311737060547,,,,,,,,,14,,,,,900000
19:15:00.000Z,19:30:00.000Z,17.20311737060547,,,,,,,,,5,,,,,900000
19:30:00.000Z,19:45:00.000Z,17.20311737060547,,,,,,,,,1,,,,,900000
19:45:00.000Z,20:00:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000
20:00:00.000Z,20:15:00.000Z,17.20311737060547,,,,,,,,,4,,,,,900000
20:15:00.000Z,20:30:00.000Z,17.20311737060547,,,,,,,,,3,,,,,900000
20:30:00.000Z,20:45:00.000Z,17.20311737060547,,,,,,,,,1,,,,,900000
20:45:00.000Z,21:00:00.000Z,17.20311737060547,,,,,,,,,7,,,,,900000
21:00:00.000Z,21:15:00.000Z,17.20311737060547,,,,,,,,,3,,,,,900000
21:15:00.000Z,21:30:00.000Z,17.20311737060547,,,,,,,,,1,,,,,900000
21:30:00.000Z,21:45:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000
21:45:00.000Z,22:00:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000
22:00:00.000Z,22:15:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000
22:15:00.000Z,22:30:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000
22:30:00.000Z,22:45:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000
22:45:00.000Z,23:00:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000
23:00:00.000Z,23:15:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000
23:15:00.000Z,23:30:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000
23:30:00.000Z,23:45:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000
23:45:00.000Z,00:00:00.000Z,17.20311737060547,,,,,,,,,,,,,,900000
