Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Inactive duration (ms)
00:00:00.000Z,00:15:00.000Z,17.203112284342446,,,,,,,,,,,,,,
00:15:00.000Z,00:30:00.000Z,17.203112284342446,,,,,,,,,,,,,,
00:30:00.000Z,00:45:00.000Z,17.203112284342446,,,,,,,,,,,,,,
00:45:00.000Z,01:00:00.000Z,17.203112284342446,,,,,,,,,,,,,,
01:00:00.000Z,01:15:00.000Z,17.203112284342446,,,,,,,,,,,,,,
01:15:00.000Z,01:30:00.000Z,17.203112284342446,,,,,,,,,,,,,,
01:30:00.000Z,01:45:00.000Z,17.203112284342446,,,,,,,,,,,,,,
01:45:00.000Z,02:00:00.000Z,17.203112284342446,,,,,,,,,,,,,,
02:00:00.000Z,02:15:00.000Z,17.203112284342446,,,,,,,,,,,,,,
02:15:00.000Z,02:30:00.000Z,17.203112284342446,,,,,,,,,,,,,,
02:30:00.000Z,02:45:00.000Z,17.203112284342446,,,,,,,,,,,,,,
02:45:00.000Z,03:00:00.000Z,17.203112284342446,,,,,,,,,,,,,,
03:00:00.000Z,03:15:00.000Z,17.203112284342446,,,,,,,,,,,,,,
03:15:00.000Z,03:30:00.000Z,17.203112284342446,,,,,,,,,,,,,,
03:30:00.000Z,03:45:00.000Z,17.203112284342446,,,,,,,,,,,,,,
03:45:00.000Z,04:00:00.000Z,17.203112284342446,,,,,,,,,,,,,,
04:00:00.000Z,04:15:00.000Z,17.203112284342446,,,,,,,,,,,,,,
04:15:00.000Z,04:30:00.000Z,17.203112284342446,,,,,,,,,,,,,,
04:30:00.000Z,04:45:00.000Z,17.203112284342446,,,,,,,,,,,,,,
04:45:00.000Z,05:00:00.000Z,17.203112284342446,,,,,,,,,3,,,,,
05:00:00.000Z,05:15:00.000Z,17.203112284342446,,,,,,,,,,,,,,
05:15:00.000Z,05:30:00.000Z,17.203112284342446,,,,,,,,,,,,,,
05:30:00.000Z,05:45:00.000Z,17.203112284342446,,,,,,,,,,,,,,
05:45:00.000Z,06:00:00.000Z,17.203112284342446,,,,,,,,,,,,,,
06:00:00.000Z,06:15:00.000Z,17.203112284342446,,,,,,,,,1,,,,,
06:15:00.000Z,06:30:00.000Z,17.203112284342446,,,,,,,,,,,,,,
06:30:00.000Z,06:45:00.000Z,17.203112284342446,,,,,,,,,,,,,,
06:45:00.000Z,07:00:00.000Z,17.203112284342446,,,,,,,,,19,,,,,
07:00:00.000Z,07:15:00.000Z,17.203112284342446,,,,,,,,,41,,,,,
07:15:00.000Z,07:30:00.000Z,17.203112284342446,,,,,,,,,15,,,,,
07:30:00.000Z,07:45:00.000Z,17.203112284342446,,,,,,,,,4,,,,,
07:45:00.000Z,08:00:00.000Z,17.203112284342446,,,,,,,,,25,,,,,
08:00:00.000Z,08:15:00.000Z,17.203112284342446,,,,,,,,,576,,,,8,
08:15:00.000Z,08:30:00.000Z,17.203112284342446,,,,,,,,,443,,,,5,
08:30:00.000Z,08:45:00.000Z,17.203112284342446,,,,,,,,,3,,,,,
08:45:00.000Z,09:00:00.000Z,17.203112284342446,,,,,,,,,1,,,,,
09:00:00.000Z,09:15:00.000Z,17.203112284342446,,,,,,,,,,,,,,
09:15:00.000Z,09:30:00.000Z,17.203112284342446,,,,,,,,,2,,,,,
09:30:00.000Z,09:45:00.000Z,17.203112284342446,,,,,,,,,,,,,,
09:45:00.000Z,10:00:00.000Z,17.203112284342446,,,,,,,,,,,,,,
10:00:00.000Z,10:15:00.000Z,17.203112284342446,,,,,,,,,2,,,,,
10:15:00.000Z,10:30:00.000Z,17.203112202626222,,,,,,,,,2,,,,,
10:30:00.000Z,10:45:00.000Z,17.203112016523818,,,,,,,,,1,,,,,
10:45:00.000Z,11:00:00.000Z,17.203112016523818,,,,,,,,,1,,,,,
11:00:00.000Z,11:15:00.000Z,17.203112016523818,,,,,,,,,,,,,,
11:15:00.000Z,11:30:00.000Z,17.203112016523818,,,,,,,,,,,,,,
11:30:00.000Z,11:45:00.000Z,17.203112016523818,,,,,,,,,,,,,,
11:45:00.000Z,12:00:00.000Z,17.203112016523818,,,,,,,,,496,,,,5,
12:00:00.000Z,12:15:00.000Z,17.203112016523818,,,,,,,,,911,,,,11,
12:15:00.000Z,12:30:00.000Z,17.203112016523818,,,,,,,,,101,,,,1,
12:30:00.000Z,12:45:00.000Z,17.203112016523818,,,,,,,,,299,,,,5,
12:45:00.000Z,13:00:00.000Z,17.203112016523818,,,,,,,,,156,,,,1,
13:00:00.000Z,13:15:00.000Z,17.203112016523818,,,,,,,,,111,,,,2,
13:15:00.000Z,13:30:00.000Z,17.203112016523818,,,,,,,,,109,,,,2,
13:30:00.000Z,13:45:00.000Z,17.203112016523818,,,,,,,,,119,,,,1,
13:45:00.000Z,14:00:00.000Z,17.203112016523818,,,,,,,,,638,,,,8,
14:00:00.000Z,14:15:00.000Z,17.203112016523818,,,,,,,,,38,,,,,
14:15:00.000Z,14:30:00.000Z,17.203112016523818,,,,,,,,,62,,,,,
14:30:00.000Z,14:45:00.000Z,17.203112016523818,,,,,,,,,39,,,,,
14:45:00.000Z,15:00:00.000Z,17.203112016523818,,,,,,,,,48,,,,,
15:00:00.000Z,15:15:00.000Z,17.203112016523818,,,,,,,,,273,,,,3,
