Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Hiking duration (ms),Sleep duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
2019-03-06,2230.498959784145,3617.5478903177573,-33.9777568,18.4652444,-33.8567694,18.6899587,3.6567628256051914,32.68203353881836,0.0,2806,,,,42,,55683347,2734827,2760000,,,16260000,4920000,
2019-03-07,1857.018431997299,846.3714784250842,,,,,0.39090472386788827,1.4757355451583862,0.01122443936765194,1916,,,,19,,68355236,3187067,,,,6240000,4620000,
2019-03-08,2062.777398842676,3785.8366044773597,-33.9813305,18.4630329,-33.8635653,18.6842846,0.36156298722571434,2.035104990005493,7.4074073927477E-4,5646,,,,48,,49297285,5585407,420000,,,18780000,7440000,
2019-03-09,1946.551045759558,1429.9645699184991,-33.8903675,18.6310474,-33.8635423,18.6842789,0.22391275368316016,3.4834983348846436,0.0012401480926200747,2958,,,,29,,37265945,4575484,,,,20520000,14040000,
2019-03-10,1910.3213439641381,1069.8876123578784,-33.8636206,18.672876,-33.8184736,18.6842893,0.140738992347655,0.34333333373069763,0.002159244380891323,1495,,,,15,,50646857,2520537,660000,,,24300000,6960000,
2019-03-11,2038.2559786310383,3362.0606172927137,-33.9796563,18.464628,-33.8635839,18.6851805,1.2819074160778083,29.701622009277344,0.0,4236,,,,28,,37378319,6154647,,,,22860000,12540000,
2019-03-12,1651.499366491269,258.3158494767471,-33.8636612,18.6841876,-33.8635434,18.684337,0.004302578512579203,0.004302578512579203,0.004302578512579203,92,,,,,,48120000,,,,,29640000,8640000,
2019-03-13,2057.4905704888934,4008.8969006660254,-33.9777319,18.4634594,-33.8635527,18.6842609,0.657161526097513,2.3560590744018555,0.0016857506707310677,6067,,,,61,,52084575,5615833,300000,,,17880000,6900000,
2019-03-14,1766.8978932932835,381.1743522958524,-33.863611,18.684216,-33.8635508,18.6842548,2.2654912272587144,22.19685173034668,0.009838349185883999,591,,,,4,,56251978,1789531,,,,20640000,4140000,
2019-03-15,1960.1152141189448,1371.111249446869,-33.9775293,18.4653433,-33.9774113,18.4657817,1.7026827441631984,32.38717269897461,0.10537288337945938,3418,,,,44,,73362256,4785726,,,,,,
2019-03-16,2008.925593131836,1895.6709022670984,-33.938483,18.8588491,-33.9368046,18.8595795,0.5073893167914497,1.612504005432129,0.23794926702976227,4350,,,,45,,63396477,5542751,,,,6300000,3420000,
2019-03-17,2410.97270119833,2178.5149042592884,-34.1528274,18.6841769,-33.863549,19.0431207,3.442223557045644,33.85323715209961,0.0,3067,,,,19,,35904729,4854814,3060000,,,20220000,8340000,
2019-03-18,2300.2763214965657,2542.7920372912076,-33.9777243,18.4642977,-33.8622261,18.6857922,0.23381708005420754,1.1907639503479004,0.0,2500,,,,15,,42890720,3952629,2700000,,,24000000,8100000,
2019-03-19,2001.6345046620995,2191.1943218055176,-33.9777067,18.464298,-33.863569,18.6842361,0.7422819714519333,33.27984619140625,1.3908205437473953E-4,4513,,,,53,,43431273,5429685,,,,24300000,8400000,
2019-03-20,2148.2992159864166,3449.2470545086585,-33.9778163,18.4642378,-33.8635548,18.6842622,1.0538053202008117,33.01424026489258,0.0026266416534781456,5566,,,,79,,50546770,6481911,540000,,,15600000,5760000,
2019-03-21,1751.8318328734917,764.8909685611725,,,,,1.146731657242125,20.846141815185547,0.1456451416015625,1893,,,,17,,80003796,1555896,,,,,,
