Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Inactive duration (ms),Walking duration (ms),Sleep duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms)
13:15:00.000Z,13:30:00.000Z,16.88541603088379,18.489633560180664,,,,,0.30816054344177246,0.30816054344177246,0.30816054344177246,45,,,,,900000,,,,
13:30:00.000Z,13:45:00.000Z,16.88541603088379,,,,,,,,,,,,,,900000,,,,
13:45:00.000Z,14:00:00.000Z,16.88541603088379,,,,,,,,,,,,,,900000,,,,
14:00:00.000Z,14:15:00.000Z,16.88541603088379,,,,,,,,,,,,,,900000,,,,
14:15:00.000Z,14:30:00.000Z,16.88541603088379,,,,,,,,,,,,,,900000,,,,
14:30:00.000Z,14:45:00.000Z,16.88541603088379,,,,,,,,,,,,,,900000,,,,
14:45:00.000Z,15:00:00.000Z,16.88541603088379,,,,,,,,,8,,,,,900000,,,,
15:00:00.000Z,15:15:00.000Z,16.88541597136119,,,,,,,,,38,,,,,900000,,,,
15:15:00.000Z,15:30:00.000Z,16.885415696593586,24.86536979675293,,,,,0.3187867999076843,0.3187867999076843,0.3187867999076843,48,,,,,900000,,,,
15:30:00.000Z,15:45:00.000Z,43.883799696606935,373.04426795244217,,,,,0.9913788243147165,1.6130906343460083,0.5320297479629517,636,,,,7,471035,428965,,,
15:45:00.000Z,16:00:00.000Z,16.88541603088379,,,,,,,,,3,,,,,900000,,,,
16:00:00.000Z,16:15:00.000Z,16.88541603088379,,,,,,,,,4,,,,,900000,,,,
16:15:00.000Z,16:30:00.000Z,16.88541603088379,,,,,,,,,4,,,,,900000,,,,
16:30:00.000Z,16:45:00.000Z,16.88541603088379,,,,,,,,,,,,,,900000,,,,
