Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Inactive duration (ms),Walking duration (ms),Running duration (ms),Light sleeping duration (ms)
12:45:00.000Z,13:00:00.000Z,17.05729103088379,51.99626865671642,,,,,,,,74,,,,,900000,,,
13:00:00.000Z,13:15:00.000Z,17.05729103088379,51.99626865671642,,,,,,,,74,,,,,900000,,,
13:15:00.000Z,13:30:00.000Z,17.05729103088379,51.99626865671642,,,,,,,,74,,,,,900000,,,
13:30:00.000Z,13:45:00.000Z,18.78504583234704,51.99626865671642,,,,,,,,74,,,,,872649,27351,,
13:45:00.000Z,14:00:00.000Z,23.956038251122234,194.79850746268656,-33.9774998,18.4653953,-33.9774925,18.4654051,0.3888888955116272,0.3888888955116272,0.3888888955116272,291,,,,7,370272,529728,,
14:00:00.000Z,14:15:00.000Z,28.776623478335665,390.46153846153845,-33.9772891,18.4648793,-33.9675306,18.4667332,0.4775641113519668,0.5666666626930237,0.38846156001091003,564,,,,14,178142,721858,,
14:15:00.000Z,14:30:00.000Z,7.170119823990287,173.10989010989013,-33.9450135,18.4663522,-33.8820082,18.5092923,0.10476190596818924,0.10476190596818924,0.10476190596818924,264,,,,5,,300000,540000,
14:30:00.000Z,14:45:00.000Z,8.292996946867412,205.7012987012987,-33.9161224,18.4752287,-33.8579183,18.6863351,0.3227272629737854,0.3227272629737854,0.3227272629737854,314,,,,9,,540000,300000,
14:45:00.000Z,15:00:00.000Z,18.817301878963626,67.3741872551658,-33.8636534,18.6840771,-33.8636534,18.6840771,0.3973846733570099,0.3973846733570099,0.3973846733570099,84,,,,2,736283,163717,,
15:00:00.000Z,15:15:00.000Z,17.05729103088379,20.56,,,,,,,,31,,,,,900000,,,
15:15:00.000Z,15:30:00.000Z,17.05729103088379,20.56,,,,,,,,31,,,,,900000,,,
15:30:00.000Z,15:45:00.000Z,17.05729103088379,20.56,,,,,,,,31,,,,,900000,,,
15:45:00.000Z,16:00:00.000Z,17.057291195288297,20.56,,,,,,,,31,,,,,900000,,,
16:00:00.000Z,16:15:00.000Z,18.71378984221918,20.56,,,,,,,,31,,,,,821922,26223,,
16:15:00.000Z,16:30:00.000Z,17.057290251739854,20.56,,,,,,,,31,,,,,,,,
16:30:00.000Z,16:45:00.000Z,17.057290251739854,20.56,,,,,,,,31,,,,,,,,
16:45:00.000Z,17:00:00.000Z,18.011657959535423,20.56,,,,,,,,32,,,,,192100,15108,,
17:00:00.000Z,17:15:00.000Z,17.057289123535156,20.56,,,,,,,,31,,,,,900000,,,
17:15:00.000Z,17:30:00.000Z,17.057289123535156,20.56,,,,,,,,31,,,,,900000,,,
17:30:00.000Z,17:45:00.000Z,17.057289123535156,20.56,,,,,,,,31,,,,,900000,,,
17:45:00.000Z,18:00:00.000Z,17.057289104275032,20.56,,,,,0.02284444496035576,0.02284444496035576,0.02284444496035576,31,,,,,900000,,,
18:00:00.000Z,18:15:00.000Z,17.057289033300325,20.56,,,,,,,,31,,,,,900000,,,
18:15:00.000Z,18:30:00.000Z,17.153875469952823,20.56,,,,,,,,31,,,,,898471,1529,,
18:30:00.000Z,18:45:00.000Z,27.97048416497698,20.56,,,,,,,,31,,,,,95957,172760,,
18:45:00.000Z,19:00:00.000Z,17.057291060735775,20.56,,,,,,,,31,,,,,698340,,,
19:00:00.000Z,19:15:00.000Z,17.05729103088379,20.56,,,,,,,,31,,,,,900000,,,
19:15:00.000Z,19:30:00.000Z,17.05729103088379,20.56,,,,,,,,31,,,,,900000,,,
19:30:00.000Z,19:45:00.000Z,17.05729103088379,20.56,,,,,,,,31,,,,,900000,,,
19:45:00.000Z,20:00:00.000Z,17.05728982253599,20.56,,,,,,,,31,,,,,900000,,,
20:00:00.000Z,20:15:00.000Z,17.057289473600775,20.56,,,,,,,,31,,,,,900000,,,
20:15:00.000Z,20:30:00.000Z,17.057289473600775,20.56,,,,,,,,31,,,,,900000,,,
20:30:00.000Z,20:45:00.000Z,17.057289473600775,20.56,,,,,,,,31,,,,,900000,,,
20:45:00.000Z,21:00:00.000Z,17.05729214203273,20.56,,,,,,,,32,,,,,131555,,,
21:00:00.000Z,21:15:00.000Z,17.05729195734262,10.760075580596924,,,,,,,,27,,,,,368223,,,
