Start time,End time,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Move Minutes count,Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
11:45:00.000Z,12:00:00.000Z,17.203113555908203,,,,,,,,,,,,,,,900000,,
12:00:00.000Z,12:15:00.000Z,17.203113555908203,,,,,,,,,,,,,,,900000,,
12:15:00.000Z,12:30:00.000Z,17.203113527380918,,,,,,,,,11,,,,,,869976,,
12:30:00.000Z,12:45:00.000Z,17.203113667519595,,,,,,,,,46,,,,,,819495,,
12:45:00.000Z,13:00:00.000Z,17.203113555908203,,,,,,,,,,,,,,,900000,,
13:00:00.000Z,13:15:00.000Z,17.203113555908203,,,,,,,,,,,,,,,900000,,
13:15:00.000Z,13:30:00.000Z,17.203113555908203,,,,,,,,,2,,,,,,900000,,
13:30:00.000Z,13:45:00.000Z,17.203113012916514,,,,,,,,,5,,,,,,900000,,
13:45:00.000Z,14:00:00.000Z,17.20311295957446,,,,,,,,,,,,,,,900000,,
14:00:00.000Z,14:15:00.000Z,23.101326363943965,20.72003936767578,,,,,0.6277613639831543,0.6860072016716003,0.5695155262947083,76,,,,1,,505100,91466,
14:15:00.000Z,14:30:00.000Z,17.203113236016076,,,,,,,,,,,,,,,,,
14:30:00.000Z,14:45:00.000Z,17.203113236016076,,,,,,,,,,,,,,,,,
14:45:00.000Z,15:00:00.000Z,17.20311336344987,,,,,,,,,8,,,,,,160277,,
15:00:00.000Z,15:15:00.000Z,17.203113555908203,,,,,,,,,10,,,,,,900000,,
15:15:00.000Z,15:30:00.000Z,17.203113555908203,,,,,,,,,73,,,,,,900000,,
15:30:00.000Z,15:45:00.000Z,17.203113555908203,,,,,,,,,31,,,,,,900000,,
15:45:00.000Z,16:00:00.000Z,17.203113616550247,,,,,,,,,70,,,,,,900000,,
16:00:00.000Z,16:15:00.000Z,17.203113896430175,,,,,,,,,80,,,,,,900000,,
16:15:00.000Z,16:30:00.000Z,30.943191315336634,199.5128281712532,,,,,1.2286338615013472,1.3632012605667114,1.0420957803726196,372,,,,3,,495647,213073,
16:30:00.000Z,16:45:00.000Z,35.48502054045476,253.26007997989655,,,,,1.1420669498305607,2.471282958984375,0.30774855613708496,444,,,,4,,616495,283505,
16:45:00.000Z,17:00:00.000Z,34.47866447957532,195.45047760009766,,,,,1.180120886400164,1.5284781455993652,0.4964548349380493,321,,,,3,,632101,267899,
17:00:00.000Z,17:15:00.000Z,17.20311164855957,,,,,,,,,11,,,,,,900000,,
17:15:00.000Z,17:30:00.000Z,17.20311164855957,,,,,,,,,3,,,,,,900000,,
17:30:00.000Z,17:45:00.000Z,17.20311164855957,,,,,,,,,4,,,,,,900000,,
17:45:00.000Z,18:00:00.000Z,17.203111778667523,,,,,,,,,39,,,,,,900000,,
18:00:00.000Z,18:15:00.000Z,17.203112128206477,,,,,,,,,47,,,,,,900000,,
18:15:00.000Z,18:30:00.000Z,17.203112128206477,,,,,,,,,6,,,,,,900000,,
18:30:00.000Z,18:45:00.000Z,24.22182363360882,7.122513771057129,,,,,0.24929650127887726,0.24929650127887726,0.24929650127887726,18,,,,,,791158,108842,
18:45:00.000Z,19:00:00.000Z,17.203113555908203,,,,,,,,,12,,,,,,900000,,
19:00:00.000Z,19:15:00.000Z,17.203113555908203,,,,,,,,,14,,,,,,900000,,
19:15:00.000Z,19:30:00.000Z,17.203113555908203,,,,,,,,,34,,,,,,900000,,
